Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P2,9,LeftUpperLeg,4.101705779614464,[0.68323481 0.46171515 3.94806635],4.966150451432412,2.228486134449217
P2,9,LeftLowerLeg,27.92769608489362,[ 1.16122465  1.15902464 27.8601351 ],5.265683938938075,2.2947078112339434
P2,9,LeftFoot,5.245027924200848,[1.78041248 0.33191971 4.9159299 ],0.07671697495166908,0.2769782932860788
P2,10,Pelvis,5.484194350132321,[0.38255213 1.24405264 5.30361559],0.08371969601122405,0.28934356051452753
P2,10,T8,22.654919244651193,[ 5.50211273 17.71078628  9.94300995],174.18484486794463,13.197910625093073
P2,10,Head,5.007521727144974,[0.76214047 3.81814383 3.00875531],0.2687883926322854,0.5184480616535135
P2,10,RightShoulder,40.250837436969306,[ 5.53007812 15.97864708 34.96350657],29.898493635293338,5.467951502646429
P2,10,RightUpperArm,30.80376961364686,[15.18146362 19.18372861 11.37746194],39.46247743503813,6.28191670074016
P2,10,RightForeArm,28.70376432588881,[10.7727264  24.3769855  12.47739599],252.16781106581988,15.879792538500617
P2,10,RightHand,6.9226954608105045,[1.97297558 6.07437514 1.57045558],5.0422472528972255,2.2454948792854608
